-2,23
-3,24
-4,26
-5,28
-6,29
-7,32
-8,35
-9,37
-10,40
-11,51
-12,53
-13,62
-14,76
-15,101
-16,121
-17,139
-18,178
-19,256
-20,339
-21,468
-22,703
-23,730
-24,821
-25,857
-26,876
-27,896
-28,917
-29,923
-30,937
-31,945
-32,949
-33,954
-34,959
-35,961
-36,963
-37,964
-38,963
-39,963
-40,959
-41,955
-42,952
-43,944
-44,940
